"Date","Delta","Events"
"2016-02-18 15:15:19.668244","2","2"
"2016-02-18 16:57:01.459875","4","4"
"2016-02-18 19:03:40.958607","5","5"
"2016-02-18 20:25:17.602207","5","5"
"2016-02-18 22:29:27.008107","3","3"
"2016-02-18 23:56:40.254232","4","4"
"2016-02-19 04:03:03.856849","1","1"
"2016-02-19 05:16:11.154132","1","1"
"2016-02-19 08:15:20.669433","2","2"
"2016-02-19 10:45:25.513761","1","1"
"2016-02-19 12:52:02.279580","1","1"
"2016-02-19 15:43:51.981244","3","3"
"2016-02-19 18:23:45.912851","1","1"
"2016-02-19 21:34:30.999766","3","3"
"2016-02-20 00:24:59.198563","2","2"
"2016-02-20 02:27:34.769582","2","2"
"2016-02-20 05:15:47.629098","1","1"
"2016-02-20 08:28:07.587353","2","2"
"2016-02-20 09:41:27.070033","1","1"
"2016-02-20 11:59:45.862892","2","4"
"2016-02-20 18:51:56.611696","1","1"
"2016-02-20 20:53:45.861308","2","2"
"2016-02-20 21:55:34.871211","1","1"
"2016-02-21 00:28:54.204098","2","2"
"2016-02-21 02:00:35.573793","1","1"
"2016-02-21 17:21:59.744814","1","1"
"2016-02-21 19:12:28.011802","2","2"
"2016-02-21 22:12:39.054689","2","2"
"2016-02-21 23:28:18.860386","3","3"
"2016-02-22 00:31:27.401984","2","2"
"2016-02-22 04:22:21.304525","1","1"
"2016-02-22 06:44:27.106638","2","2"
"2016-02-22 09:30:16.948500","1","1"
"2016-02-22 13:12:16.432569","1","1"
"2016-02-22 20:45:41.974948","1","1"
"2016-02-23 04:44:55.994014","1","1"
"2016-02-23 20:30:13.146759","1","1"
"2016-02-23 21:42:39.726084","1","1"
"2016-02-23 23:16:07.304793","2","2"
"2016-02-24 06:15:12.019813","1","1"
"2016-02-24 18:38:42.814704","1","1"
"2016-02-24 20:48:40.058137","1","1"
"2016-02-25 04:11:39.944963","1","1"
"2016-02-25 05:50:00.515447","1","1"
"2016-02-26 00:54:12.197413","1","1"
"2016-02-26 05:00:02.049172","1","1"
"2016-02-26 07:11:07.130625","2","2"
"2016-02-26 09:58:56.033950","1","1"
"2016-02-26 17:20:29.702881","1","1"
"2016-02-26 19:42:13.803139","1","1"
"2016-02-26 21:19:10.905475","1","1"
"2016-02-26 22:42:03.578310","1","1"
